,variable_id,description,table_id(s)
27,bfeos,Surface Mole Concentration of Particulate Organic Matter Expressed as Iron in Sea Water [mol m-3],Omon
29,bigthetao,Sea Water Conservative Temperature [degC],Omon
33,bsios,Surface Mole Concentration of Particulate Organic Matter Expressed as Silicon in Sea Water [mol m-3],Omon
69,chlcalc,Mass Concentration of Calcareous Phytoplankton Expressed as Chlorophyll in Sea Water [kg m-3],Omon
70,chlcalcos,Surface Mass Concentration of Calcareous Phytoplankton Expressed as Chlorophyll in Sea Water [kg m-3],Omon
72,chldiatos,Surface Mass Concentration of Diatoms Expressed as Chlorophyll in Sea Water [kg m-3],Omon
74,chldiazos,Surface Mass Concentration of Diazotrophs Expressed as Chlorophyll in Sea Water [kg m-3],Omon
77,chlmiscos,Surface Mass Concentration of Other Phytoplankton Expressed as Chlorophyll in Sea Water [kg m-3],Omon
80,chlpicoos,Surface Mass Concentration of Picophytoplankton Expressed as Chlorophyll in Sea Water [kg m-3],Omon
138,co3sataragos,Surface Mole Concentration of Carbonate Ion in Equilibrium with Pure Aragonite in Sea Water [mol m-3],Omon
140,co3satcalcos,Surface Mole Concentration of Carbonate Ion in Equilibrium with Pure Calcite in Sea Water [mol m-3],Omon
197,dmso,Mole Concentration of Dimethyl Sulphide in Sea Water [mol m-3],Omon
198,dmsos,Surface Mole Concentration of Dimethyl Sulphide in Sea Water [mol m-3],Omon
254,evs,Water Evaporation Flux Where Ice Free Ocean over Sea [kg m-2 s-1],Omon
301,ficeberg,Water Flux into Sea Water from Icebergs [kg m-2 s-1],Omon
329,fric,Downward Inorganic Carbon Flux at Ocean Bottom [mol m-2 s-1],Omon
330,friver,Water Flux into Sea Water from Rivers [kg m-2 s-1],Omon
332,froc,Downward Organic Carbon Flux at Ocean Bottom [mol m-2 s-1],Omon
334,fsitherm,Water Flux into Sea Water Due to Sea Ice Thermodynamics [kg m-2 s-1],Omon
357,hfbasinpadv,Northward Ocean Heat Transport Due to Parameterized Eddy Advection [W],Omon
358,hfbasinpmadv,Northward Ocean Heat Transport Due to Parameterized Mesoscale Advection [W],Omon
359,hfbasinpmdiff,Northward Ocean Heat Transport Due to Parameterized Mesoscale Diffusion [W],Omon
360,hfbasinpsmadv,Northward Ocean Heat Transport Due to Parameterized Submesoscale Advection [W],Omon
364,hfevapds,Temperature Flux Due to Evaporation Expressed as Heat Flux out of Sea Water [W m-2],Omon
366,hfgeou,Upward Geothermal Heat Flux at Sea Floor [W m-2],Omon
367,hfibthermds,Heat Flux into Sea Water Due to Iceberg Thermodynamics [W m-2],Omon
372,hfrainds,Temperature Flux Due to Rainfall Expressed as Heat Flux into Sea Water [W m-2],Omon
373,hfrunoffds,Temperature Flux Due to Runoff Expressed as Heat Flux into Sea Water [W m-2],Omon
374,hfsifrazil,Heat Flux into Sea Water Due to Frazil Ice Formation [W m-2],Omon
375,hfsnthermds,Heat Flux into Sea Water Due to Snow Thermodynamics [W m-2],Omon
380,hfx,Ocean Heat X Transport [W],Omon
381,hfy,Ocean Heat Y Transport [W],Omon
384,htovgyre,Northward Ocean Heat Transport Due to Gyre [W],Omon
385,htovovrt,Northward Ocean Heat Transport Due to Overturning [W],Omon
395,icfriver,Flux of Inorganic Carbon into Ocean Surface by Runoff [mol m-2 s-1],Omon
404,intpn2,Nitrogen Fixation Rate in Ocean [mol m-2 s-1],Omon
461,masscello,Ocean Grid-Cell Mass per Area [kg m-2],Omon
467,mfo,Sea Water Transport [kg s-1],Omon
469,mlotstmax,Maximum Ocean Mixed Layer Thickness Defined by Sigma T [m],Omon
